 shares,,,
593,,,593
711,,,711
1500,,,1500
1200,,,1200
505,,,505
855,,,855
556,,,556
891,,,891
3600,1400,,3600
710,3395.380184,,710
2200,,,2200
1900,,,1900
823,,,823
10000,,,10000
761,,,761
1600,,,1600
13600,,,0
3100,,,3100
5700,,,5700
17100,,,0
2800,,,2800
598,,,598
445,,,445
1500,,,1500
852,,,852
783,,,783
1500,,,1500
1800,,,1800
462,,,462
425,,,425
3200,,,3200
3900,,,3900
480,,,480
573,,,573
3600,,,3600
343,,,343
7700,,,7700
2600,,,2600
504,,,504
2100,,,2100
1100,,,1100
401,,,401
4200,,,4200
1200,,,1200
1500,,,1500
575,,,575
507,,,507
1200,,,1200
695,,,695
1200,,,1200
4900,,,4900
382,,,382
400,,,400
4600,,,4600
2400,,,2400
1600,,,1600
1100,,,1100
1300,,,1300
819,,,819
585,,,585
536,,,536
834,,,834
645,,,645
598,,,598
217,,,217
3200,,,3200
545,,,545
1800,,,1800
1200,,,1200
732,,,732
1200,,,1200
2800,,,2800
495,,,495
690,,,690
1300,,,1300
552,,,552
631,,,631
4800,,,4800
851,,,851
755,,,755
468,,,468
4600,,,4600
1300,,,1300
1200,,,1200
1100,,,1100
1500,,,1500
2400,,,2400
1200,,,1200
1700,,,1700
1200,,,1200
500,,,500
455,,,455
1100,,,1100
459,,,459
1400,,,1400
6400,,,6400
4800,,,4800
695,,,695
341,,,341
1900,,,1900
1200,,,1200
450,,,450
663,,,663
302,,,302
971,,,971
1400,,,1400
1000,,,1000
1900,,,1900
1100,,,1100
1100,,,1100
1500,,,1500
2000,,,2000
5700,,,5700
7100,,,7100
1200,,,1200
705,,,705
1900,,,1900
3800,,,3800
2300,,,2300
575,,,575
1800,,,1800
1600,,,1600
1900,,,1900
5600,,,5600
1500,,,1500
9200,,,9200
1700,,,1700
6000,,,6000
752,,,752
19400,,,0
1700,,,1700
1600,,,1600
788,,,788
454,,,454
1100,,,1100
2800,,,2800
1600,,,1600
2000,,,2000
412,,,412
1100,,,1100
417,,,417
1600,,,1600
2500,,,2500
474,,,474
2100,,,2100
513,,,513
10400,,,10400
2200,,,2200
5600,,,5600
373,,,373
1000,,,1000
3200,,,3200
657,,,657
2100,,,2100
727,,,727
350,,,350
1900,,,1900
1200,,,1200
2800,,,2800
341,,,341
648,,,648
1300,,,1300
1000,,,1000
1300,,,1300
1700,,,1700
4600,,,4600
2700,,,2700
1700,,,1700
450,,,450
939,,,939
1600,,,1600
866,,,866
606,,,606
5000,,,5000
11500,,,0
529,,,529
28000,,,0
1700,,,1700
761,,,761
958,,,958
904,,,904
1200,,,1200
4500,,,4500
1200,,,1200
427,,,427
1300,,,1300
3200,,,3200
377,,,377
3400,,,3400
972,,,972
979,,,979
737,,,737
3800,,,3800
396,,,396
1700,,,1700
676,,,676
2900,,,2900
2500,,,2500
1400,,,1400
484,,,484
7500,,,7500
441,,,441
922,,,922
473,,,473
